timestamp,probability
2025-02-25T21:00:05Z,0.85
2025-02-25T22:00:04Z,0.86
2025-02-25T23:00:04Z,0.86
2025-02-26T00:00:05Z,0.86
2025-02-26T01:00:04Z,0.86
2025-02-26T02:00:04Z,0.865
2025-02-26T03:00:05Z,0.875
2025-02-26T04:00:05Z,0.885
2025-02-26T05:00:04Z,0.89
2025-02-26T06:00:04Z,0.89
2025-02-26T07:00:05Z,0.88
2025-02-26T08:00:05Z,0.895
2025-02-26T09:00:04Z,0.9
2025-02-26T10:00:04Z,0.94
2025-02-26T11:00:04Z,0.95
2025-02-26T12:00:04Z,0.94
2025-02-26T13:00:04Z,0.94
2025-02-26T14:00:05Z,0.94
2025-02-26T15:00:04Z,0.935
2025-02-26T16:00:05Z,0.95
2025-02-26T17:00:04Z,0.945
2025-02-26T18:00:04Z,0.945
2025-02-26T19:00:04Z,0.95
2025-02-26T20:00:05Z,0.95
2025-02-26T21:00:04Z,0.895
2025-02-26T22:00:04Z,0.975
2025-02-26T23:00:04Z,0.9745
2025-02-27T00:00:05Z,0.9685
2025-02-27T01:00:05Z,0.975
2025-02-27T02:00:05Z,0.9745
2025-02-27T03:00:05Z,0.971
2025-02-27T04:00:05Z,0.9755
2025-02-27T05:00:04Z,0.9815
2025-02-27T06:00:05Z,0.9825
2025-02-27T07:00:04Z,0.9815
2025-02-27T08:00:05Z,0.978
2025-02-27T09:00:05Z,0.9775
2025-02-27T10:00:05Z,0.9825
2025-02-27T11:00:04Z,0.9805
2025-02-27T12:00:06Z,0.98
2025-02-27T13:00:04Z,0.976
2025-02-27T14:00:05Z,0.9815
2025-02-27T15:00:04Z,0.983
2025-02-27T16:00:05Z,0.977
2025-02-27T17:00:04Z,0.9775
2025-02-27T18:00:05Z,0.9655
2025-02-27T19:00:05Z,0.8445
2025-02-27T20:00:05Z,0.855
2025-02-27T21:00:05Z,0.892
2025-02-27T22:00:05Z,0.8915
2025-02-27T23:00:05Z,0.897
2025-02-28T00:00:05Z,0.965
2025-02-28T01:00:05Z,0.962
2025-02-28T02:00:05Z,0.966
2025-02-28T03:00:05Z,0.9725
2025-02-28T04:00:05Z,0.969
2025-02-28T05:00:05Z,0.968
2025-02-28T06:00:04Z,0.89
2025-02-28T07:00:05Z,0.9775
2025-02-28T08:00:05Z,0.981
2025-02-28T09:00:05Z,0.9845
2025-02-28T10:00:05Z,0.9865
2025-02-28T11:00:05Z,0.9875
2025-02-28T12:00:05Z,0.9895
2025-02-28T13:00:05Z,0.9885
2025-02-28T14:00:05Z,0.9875
2025-02-28T15:00:05Z,0.991
2025-02-28T16:00:05Z,0.9865
2025-02-28T17:00:05Z,0.9965
2025-02-28T18:00:05Z,0.9995
2025-02-28T19:00:05Z,0.9995
2025-02-28T20:00:05Z,0.9995
