timestamp,probability
2025-02-24T19:00:04Z,0.175
2025-02-24T20:00:05Z,0.155
2025-02-24T21:00:04Z,0.155
2025-02-24T22:00:04Z,0.155
2025-02-24T23:00:04Z,0.155
2025-02-25T00:00:04Z,0.155
2025-02-25T01:00:04Z,0.155
2025-02-25T02:00:04Z,0.155
2025-02-25T03:00:05Z,0.155
2025-02-25T04:00:04Z,0.155
2025-02-25T05:00:05Z,0.155
2025-02-25T06:00:04Z,0.155
2025-02-25T07:00:05Z,0.16
2025-02-25T08:00:04Z,0.16
2025-02-25T09:00:04Z,0.16
2025-02-25T10:00:04Z,0.16
2025-02-25T11:00:04Z,0.16
2025-02-25T12:00:05Z,0.16
2025-02-25T13:00:05Z,0.16
2025-02-25T14:00:04Z,0.16
2025-02-25T15:00:04Z,0.16
2025-02-25T16:00:04Z,0.185
2025-02-25T17:00:04Z,0.195
2025-02-25T18:00:04Z,0.19
2025-02-25T19:00:04Z,0.19
2025-02-25T20:00:05Z,0.195
2025-02-25T21:00:05Z,0.215
2025-02-25T22:00:04Z,0.21
2025-02-25T23:00:04Z,0.355
2025-02-26T00:00:05Z,0.355
2025-02-26T01:00:04Z,0.34
2025-02-26T02:00:04Z,0.35
2025-02-26T03:00:05Z,0.325
2025-02-26T04:00:05Z,0.32
2025-02-26T05:00:04Z,0.315
2025-02-26T06:00:04Z,0.34
2025-02-26T07:00:05Z,0.355
2025-02-26T08:00:05Z,0.375
2025-02-26T09:00:04Z,0.355
2025-02-26T10:00:04Z,0.33
2025-02-26T11:00:04Z,0.345
2025-02-26T12:00:04Z,0.345
2025-02-26T13:00:04Z,0.33
2025-02-26T14:00:05Z,0.32
2025-02-26T15:00:04Z,0.31
2025-02-26T16:00:05Z,0.34
2025-02-26T17:00:04Z,0.215
2025-02-26T18:00:04Z,0.61
2025-02-26T19:00:04Z,0.925
2025-02-26T20:00:05Z,0.928
2025-02-26T21:00:04Z,0.979
2025-02-26T22:00:04Z,0.929
2025-02-26T23:00:04Z,0.98
2025-02-27T00:00:05Z,0.995
2025-02-27T01:00:05Z,0.9995
2025-02-27T02:00:05Z,0.9995
2025-02-27T03:00:05Z,0.9995
2025-02-27T04:00:05Z,0.9995
2025-02-27T05:00:04Z,0.9995
2025-02-27T06:00:05Z,0.9995
2025-02-27T07:00:04Z,0.9995
2025-02-27T08:00:05Z,0.9995
2025-02-27T09:00:05Z,0.9995
