open_time,open,high,low,close,volume
1772006400000,1893.32000000,1898.86000000,1890.27000000,1896.20000000,3918.47890000
1772008200000,1896.19000000,1913.90000000,1896.19000000,1910.29000000,9406.81370000
1772010000000,1910.29000000,1917.83000000,1907.49000000,1913.00000000,6414.29400000
1772011800000,1913.00000000,1916.09000000,1908.07000000,1915.19000000,5710.51710000
1772013600000,1915.18000000,1923.43000000,1911.97000000,1912.66000000,6779.71960000
1772015400000,1912.66000000,1916.62000000,1910.22000000,1912.61000000,3613.81200000
1772017200000,1912.62000000,1922.34000000,1907.76000000,1919.75000000,6850.20450000
1772019000000,1919.75000000,1928.45000000,1919.32000000,1926.48000000,6832.50880000
1772020800000,1926.48000000,1942.00000000,1922.28000000,1938.35000000,11436.50040000
1772022600000,1938.35000000,1956.79000000,1937.10000000,1953.43000000,17029.74290000
1772024400000,1953.44000000,1966.60000000,1952.47000000,1962.39000000,15659.58230000
1772026200000,1962.38000000,1976.89000000,1960.80000000,1964.57000000,14184.65760000
1772028000000,1964.57000000,1975.85000000,1964.57000000,1972.13000000,8786.02390000
1772029800000,1972.12000000,2001.65000000,1962.14000000,1997.38000000,37842.97730000
1772031600000,1997.38000000,2007.46000000,1986.72000000,2000.53000000,21932.38160000
1772033400000,2000.54000000,2028.70000000,1997.15000000,2013.73000000,32173.61880000
1772035200000,2013.69000000,2042.70000000,2013.36000000,2030.86000000,24554.04680000
1772037000000,2030.87000000,2049.18000000,2026.51000000,2046.33000000,17261.81510000
1772038800000,2046.34000000,2073.00000000,2044.28000000,2065.99000000,33006.18510000
1772040600000,2066.00000000,2086.17000000,2059.82000000,2073.90000000,19389.43720000
1772042400000,2073.90000000,2081.20000000,2056.93000000,2077.24000000,18517.97830000
1772044200000,2077.25000000,2077.98000000,2065.37000000,2074.12000000,12148.65340000
1772046000000,2074.11000000,2074.90000000,2060.05000000,2067.64000000,12702.95320000
1772047800000,2067.65000000,2073.18000000,2060.06000000,2071.10000000,7445.69130000
1772049600000,2071.10000000,2074.20000000,2059.59000000,2059.68000000,9552.32240000
1772051400000,2059.67000000,2083.99000000,2058.37000000,2075.00000000,18873.22680000
1772053200000,2074.99000000,2078.03000000,2067.41000000,2067.76000000,7594.02060000
1772055000000,2067.76000000,2148.39000000,2065.84000000,2100.33000000,65337.02980000
1772056800000,2100.33000000,2115.41000000,2098.31000000,2099.85000000,18063.27720000
1772058600000,2099.85000000,2105.52000000,2073.79000000,2083.15000000,16923.31140000
1772060400000,2083.14000000,2087.00000000,2067.00000000,2069.58000000,10672.23670000
1772062200000,2069.58000000,2071.70000000,2034.39000000,2057.48000000,22343.17270000
1772064000000,2057.48000000,2076.60000000,2047.83000000,2067.64000000,13852.77750000
1772065800000,2067.64000000,2074.74000000,2051.37000000,2062.36000000,8431.42090000
1772067600000,2062.36000000,2066.95000000,2054.20000000,2055.87000000,8078.03120000
1772069400000,2055.87000000,2064.84000000,2049.74000000,2058.34000000,6928.92330000
1772071200000,2058.35000000,2059.06000000,2039.37000000,2045.66000000,7321.84350000
1772073000000,2045.66000000,2056.41000000,2045.66000000,2053.28000000,5046.94240000
1772074800000,2053.28000000,2056.49000000,2047.35000000,2051.32000000,4635.36170000
1772076600000,2051.31000000,2059.35000000,2049.85000000,2054.55000000,4742.01240000
1772078400000,2054.55000000,2067.99000000,2051.92000000,2064.83000000,9965.13310000
1772080200000,2064.83000000,2082.81000000,2064.35000000,2075.01000000,13608.39230000
1772082000000,2075.00000000,2075.55000000,2056.70000000,2064.26000000,6904.72840000
1772083800000,2064.26000000,2069.16000000,2059.07000000,2066.13000000,4967.74210000
1772085600000,2066.13000000,2076.50000000,2060.54000000,2064.48000000,6566.53190000
1772087400000,2064.48000000,2066.76000000,2059.54000000,2062.54000000,6349.44810000
1772089200000,2062.54000000,2068.29000000,2060.94000000,2063.45000000,4997.54770000
1772091000000,2063.44000000,2064.00000000,2051.55000000,2053.37000000,7929.08740000
1772092800000,2053.36000000,2059.00000000,2045.20000000,2048.51000000,9793.80400000
1772094600000,2048.49000000,2058.09000000,2044.36000000,2054.43000000,8835.00710000
1772096400000,2054.43000000,2073.33000000,2052.79000000,2065.67000000,9013.97770000
1772098200000,2065.66000000,2078.24000000,2064.18000000,2074.94000000,7383.13040000
1772100000000,2074.93000000,2083.33000000,2066.24000000,2066.57000000,6171.12380000
1772101800000,2066.58000000,2073.02000000,2062.19000000,2065.31000000,5606.38080000
1772103600000,2065.31000000,2067.45000000,2057.32000000,2059.24000000,4371.46480000
1772105400000,2059.24000000,2062.41000000,2053.46000000,2057.66000000,6329.37060000
1772107200000,2057.65000000,2068.62000000,2055.53000000,2065.23000000,4586.48570000
1772109000000,2065.23000000,2071.76000000,2062.59000000,2070.00000000,4231.74940000
1772110800000,2069.99000000,2072.41000000,2061.09000000,2071.96000000,5051.96560000
1772112600000,2071.95000000,2073.95000000,2063.08000000,2065.23000000,5407.50120000
1772114400000,2065.22000000,2071.35000000,2058.14000000,2069.37000000,10178.68390000
1772116200000,2069.36000000,2077.81000000,2034.63000000,2051.19000000,28347.75260000
1772118000000,2051.19000000,2053.43000000,2016.46000000,2022.79000000,31446.72150000
1772119800000,2022.78000000,2037.55000000,2011.56000000,2033.34000000,22157.96680000
1772121600000,2033.34000000,2037.78000000,2020.50000000,2033.53000000,11064.01570000
1772123400000,2033.52000000,2034.96000000,1978.77000000,1983.80000000,35519.74090000
1772125200000,1983.80000000,1998.98000000,1982.30000000,1992.35000000,14981.32990000
1772127000000,1992.35000000,1997.37000000,1982.67000000,1988.43000000,7328.70920000
1772128800000,1988.42000000,1994.80000000,1975.35000000,1986.86000000,13676.20590000
1772130600000,1986.86000000,2009.45000000,1986.01000000,2004.23000000,10094.96240000
1772132400000,2004.23000000,2033.00000000,2003.58000000,2025.83000000,20192.91470000
1772134200000,2025.82000000,2034.40000000,2020.77000000,2030.14000000,6764.87820000
1772136000000,2030.13000000,2042.75000000,2027.45000000,2028.07000000,11801.81760000
1772137800000,2028.08000000,2031.38000000,2021.64000000,2023.67000000,4248.31540000
1772139600000,2023.67000000,2031.80000000,2018.33000000,2031.74000000,3038.00140000
1772141400000,2031.74000000,2034.99000000,2025.41000000,2030.36000000,2448.34670000
1772143200000,2030.36000000,2034.57000000,2027.26000000,2029.68000000,1985.40090000
1772145000000,2029.68000000,2037.51000000,2029.11000000,2033.29000000,2411.00180000
1772146800000,2033.29000000,2033.64000000,2024.38000000,2031.33000000,2603.18100000
1772148600000,2031.33000000,2032.27000000,2024.67000000,2027.68000000,2385.52510000
1772150400000,2027.68000000,2030.86000000,2018.09000000,2022.57000000,3744.87700000
1772152200000,2022.57000000,2024.16000000,2008.34000000,2014.79000000,3825.71750000
1772154000000,2014.79000000,2015.60000000,2000.02000000,2008.56000000,5446.14290000
1772155800000,2008.55000000,2022.60000000,2007.08000000,2021.90000000,23235.36670000
1772157600000,2021.89000000,2034.00000000,2019.37000000,2026.29000000,5628.94310000
1772159400000,2026.28000000,2034.52000000,2025.40000000,2026.00000000,3356.76460000
1772161200000,2026.01000000,2027.29000000,2019.50000000,2020.79000000,2696.82140000
1772163000000,2020.80000000,2049.48000000,2020.80000000,2045.39000000,6524.97470000
1772164800000,2045.39000000,2063.52000000,2043.14000000,2056.65000000,14522.47090000
1772166600000,2056.65000000,2057.55000000,2039.84000000,2042.64000000,7162.59260000
1772168400000,2042.64000000,2049.43000000,2038.71000000,2044.40000000,4883.85180000
1772170200000,2044.39000000,2047.34000000,2040.33000000,2041.61000000,3011.58120000
1772172000000,2041.60000000,2042.95000000,2027.53000000,2032.50000000,8705.92300000
1772173800000,2032.50000000,2039.62000000,2031.66000000,2035.91000000,4436.58230000
1772175600000,2035.92000000,2041.43000000,2030.00000000,2030.84000000,4410.57160000
1772177400000,2030.85000000,2033.92000000,2022.16000000,2032.69000000,15954.30890000
1772179200000,2032.69000000,2045.93000000,2031.39000000,2037.36000000,7079.22880000
1772181000000,2037.36000000,2042.09000000,2028.08000000,2033.38000000,5886.77270000
1772182800000,2033.39000000,2042.43000000,2031.75000000,2037.83000000,5081.95620000
1772184600000,2037.84000000,2038.75000000,2008.41000000,2010.01000000,10198.52820000
1772186400000,2010.00000000,2013.69000000,1984.35000000,1991.63000000,22415.45530000
1772188200000,1991.62000000,1999.58000000,1978.39000000,1980.80000000,9754.08890000
1772190000000,1980.80000000,1984.12000000,1966.72000000,1974.78000000,15585.10950000
1772191800000,1974.78000000,1975.21000000,1953.37000000,1962.08000000,16540.14570000
1772193600000,1962.08000000,1969.00000000,1955.52000000,1962.61000000,10191.98920000
1772195400000,1962.61000000,1965.36000000,1949.32000000,1959.92000000,10862.27390000
1772197200000,1959.91000000,1967.71000000,1954.74000000,1959.99000000,8155.11740000
1772199000000,1959.95000000,1966.22000000,1938.82000000,1963.35000000,21632.83800000
1772200800000,1963.35000000,1964.30000000,1946.88000000,1951.59000000,8379.23580000
1772202600000,1951.58000000,1959.00000000,1940.03000000,1942.95000000,18791.77650000
1772204400000,1942.94000000,1959.24000000,1940.62000000,1951.07000000,18351.68070000
1772206200000,1951.07000000,1953.54000000,1942.00000000,1948.59000000,8758.63820000
1772208000000,1948.59000000,1948.86000000,1927.00000000,1942.29000000,14491.29950000
1772209800000,1942.29000000,1944.37000000,1924.61000000,1927.15000000,9754.61110000
